State,District,Name,Party,Congress_Number
Pennsylvania,16,Mike Kelly,(R),118
Pennsylvania,17,Chris Deluzio,(D),118
Rhode Island,1,David Cicilline,2023)[k],118
Rhode Island,Gabe Amo,[k],2023)[k],118
Rhode Island,2,Seth Magaziner,(D),118
South Carolina,1,Nancy Mace,(R),118
South Carolina,2,Joe Wilson,(R),118
South Carolina,3,Jeff Duncan,(R),118
South Carolina,4,William Timmons,(R),118
South Carolina,5,Ralph Norman,(R),118
South Carolina,6,Jim Clyburn,(D),118
South Carolina,7,Russell Fry,(R),118
South Dakota,At-large,Dusty Johnson,(R),118
Tennessee,1,Diana Harshbarger,(R),118
Tennessee,2,Tim Burchett,(R),118
Tennessee,3,Chuck Fleischmann,(R),118
Tennessee,4,Scott DesJarlais,(R),118
Tennessee,5,Andy Ogles,(R),118
Tennessee,6,John Rose,(R),118
Tennessee,7,Mark Green,(R),118
Tennessee,8,David Kustoff,(R),118
Tennessee,9,Steve Cohen,(D),118
Texas,1,Nathaniel Moran,(R),118
Texas,2,Dan Crenshaw,(R),118
Texas,3,Keith Self,(R),118
Texas,4,Pat Fallon,(R),118
Texas,5,Lance Gooden,(R),118
Texas,6,Jake Ellzey,(R),118
Texas,7,Lizzie Fletcher,(D),118
Texas,8,Morgan Luttrell,(R),118
Texas,9,Al Green,(D),118
Texas,10,Michael McCaul,(R),118
Texas,11,August Pfluger,(R),118
Texas,12,Kay Granger,(R),118
Texas,13,Ronny Jackson,(R),118
Texas,14,Randy Weber,(R),118
Texas,15,Monica De La Cruz,(R),118
Texas,16,Veronica Escobar,(D),118
Texas,17,Pete Sessions,(R),118
Texas,18,Sheila Jackson Lee,2024)[t],118
Texas,Erica Lee Carter,[t],2024)[t],118
Texas,19,Jodey Arrington,(R),118
Texas,20,Joaquin Castro,(D),118
Texas,21,Chip Roy,(R),118
Texas,22,Troy Nehls,(R),118
Texas,23,Tony Gonzales,(R),118
Texas,24,Beth Van Duyne,(R),118
Texas,25,Roger Williams,(R),118
Texas,26,Michael C. Burgess,(R),118
Texas,27,Michael Cloud,(R),118
Texas,28,Henry Cuellar,(D),118
Texas,29,Sylvia Garcia,(D),118
Texas,30,Jasmine Crockett,(D),118
Texas,31,John Carter,(R),118
Texas,32,Colin Allred,(D),118
Texas,33,Marc Veasey,(D),118
Texas,34,Vicente Gonzalez,(D),118
Texas,35,Greg Casar,(D),118
Texas,36,Brian Babin,(R),118
Texas,37,Lloyd Doggett,(D),118
Texas,38,Wesley Hunt,(R),118
Utah,1,Blake Moore,(R),118
Utah,2,Chris Stewart,2023)[l],118
Utah,Celeste Maloy,[l],2023)[l],118
Utah,3,John Curtis,(R),118
Utah,4,Burgess Owens,(R),118
Vermont,At-large,Becca Balint,(D),118
Virginia,1,Rob Wittman,(R),118
Virginia,2,Jen Kiggans,(R),118
Virginia,3,Bobby Scott,(D),118
Virginia,4,Jennifer McClellan,2023)[j],118
Virginia,5,Bob Good,(R),118
Virginia,6,Ben Cline,(R),118
Virginia,7,Abigail Spanberger,(D),118
Virginia,8,Don Beyer,(D),118
Virginia,9,Morgan Griffith,(R),118
Virginia,10,Jennifer Wexton,(D),118
Virginia,11,Gerry Connolly,(D),118
Washington,1,Suzan DelBene,(D),118
Washington,2,Rick Larsen,(D),118
Washington,3,Marie Gluesenkamp Perez,(D),118
Washington,4,Dan Newhouse,(R),118
Washington,5,Cathy McMorris Rodgers,(R),118
Washington,6,Derek Kilmer,(D),118
Washington,7,Pramila Jayapal,(D),118
Washington,8,Kim Schrier,(D),118
Washington,9,Adam Smith,(D),118
Washington,10,Marilyn Strickland,(D),118
West Virginia,1,Carol Miller,(R),118
West Virginia,2,Alex Mooney,(R),118
Wisconsin,1,Bryan Steil,(R),118
Wisconsin,2,Mark Pocan,(D),118
Wisconsin,3,Derrick Van Orden,(R),118
Wisconsin,4,Gwen Moore,(D),118
Wisconsin,5,Scott Fitzgerald,(R),118
Wisconsin,6,Glenn Grothman,(R),118
Wisconsin,7,Tom Tiffany,(R),118
Wisconsin,8,Mike Gallagher,2024)[r],118
Wisconsin,Tony Wied,[r],2024)[r],118
Wyoming,At-large,Harriet Hageman,(R),118
Non-voting members,American Samoa,Amata Coleman Radewagen,(R),118
Non-voting members,District of Columbia,Eleanor Holmes Norton,(D),118
Non-voting members,Guam,James Moylan,(R)[67],118
Non-voting members,Northern Mariana Islands,Gregorio Sablan,(D),118
Non-voting members,Puerto Rico,Jenniffer González-Colón,(PNP/R)[z],118
Non-voting members,United States Virgin Islands,Stacey Plaskett,(D),118
