Representative,Committee,Rank,Congress,Last Name,First Name,Middle Initial,State,bioguideID
"Miller, Brad, of North Carolina","Science, Space, and Technology.",,112,Miller,Brad,,North Carolina,M001154
"Miller, Candice S., of Michigan",Homeland Security.,,112,Miller,Candice,S,Michigan,M001150
"Miller, Candice S., of Michigan",Transportation and Infrastructure.,,112,Miller,Candice,S,Michigan,M001150
"Miller, Gary G., of California",Financial Services.,,112,Miller,Gary,G,California,M001139
"Miller, Gary G., of California",Transportation and Infrastructure.,,112,Miller,Gary,G,California,M001139
"Miller, George, of California",Education and the Workforce.,,112,Miller,George,,California,M000725
"Miller, Jeff, of Florida","Veterans’ Affairs, chair.",,112,Miller,Jeff,,Florida,M001144
"Miller, Jeff, of Florida",Armed Services.,,112,Miller,Jeff,,Florida,M001144
"Miller, Jeff, of Florida",Permanent Select Committee on Intelligence.,,112,Miller,Jeff,,Florida,M001144
Moore,Budget.,,112,Moore,,,,
Moore,Financial Services.,,112,Moore,,,,
Moran,Appropriations.,,112,Moran,,,,
Mulvaney,Budget.,,112,Mulvaney,,,,M001182
Mulvaney,Small Business.,,112,Mulvaney,,,,M001182
Mulvaney,Joint Economic Committee.,,112,Mulvaney,,,,M001182
"Murphy, Christopher S., of Connecticut",Foreign Affairs.,,112,Murphy,Christopher,S,Connecticut,M001169
"Murphy, Christopher S., of Connecticut",Oversight and Government Reform.,,112,Murphy,Christopher,S,Connecticut,M001169
"Murphy, Tim, of Pennsylvania",Energy and Commerce.,,112,Murphy,Tim,,Pennsylvania,M001151
Myrick,Energy and Commerce.,,112,Myrick,,,,M001134
Myrick,Permanent Select Committee on Intelligence.,,112,Myrick,,,,M001134
Nadler,Judiciary.,,112,Nadler,,,,N000002
Nadler,Transportation and Infrastructure.,,112,Nadler,,,,N000002
Napolitano,Natural Resources.,,112,Napolitano,,,,N000179
Napolitano,Transportation and Infrastructure.,,112,Napolitano,,,,N000179
Neal,Ways and Means.,,112,Neal,,,,N000015
Neugebauer,Agriculture.,,112,Neugebauer,,,,N000182
Neugebauer,Financial Services.,,112,Neugebauer,,,,N000182
Neugebauer,"Science, Space, and Technology.",,112,Neugebauer,,,,N000182
Noem,Agriculture.,,112,Noem,,,,N000184
Noem,Education and the Workforce.,,112,Noem,,,,N000184
Noem,Natural Resources.,,112,Noem,,,,N000184
Norton,Oversight and Government Reform.,,112,Norton,,,,N000147
Norton,Transportation and Infrastructure.,,112,Norton,,,,N000147
Nugent,House Administration.,,112,Nugent,,,,N000185
Nugent,Rules.,,112,Nugent,,,,N000185
Nunes,Ways and Means.,,112,Nunes,,,,N000181
