representative,party,transaction_date,ticker,type,industry,sector,price_date_unadjusted,price_date,purchase_price,purchase_price_plus_365
Josh Gottheimer,Democrat,10/21/2022,BX,sale_partial,Investment Managers,Finance,10/21/2023,10/23/2023,85.43000031,92.73999786
Josh Gottheimer,Democrat,10/18/2022,SCHW,sale_partial,Investment Bankers/Brokers/Service,Finance,10/18/2023,10/18/2023,68.61000061,51.84000015
Josh Gottheimer,Democrat,10/13/2022,LNG,purchase,Oil/Gas Transmission,Utilities,10/13/2023,10/13/2023,178.1699982,176.7100067
Josh Gottheimer,Democrat,10/17/2022,CTSH,purchase,EDP Services,Technology,10/17/2023,10/17/2023,59.88000107,67.16999817
Josh Gottheimer,Democrat,10/24/2022,DE,purchase,Industrial Machinery/Components,Capital Goods,10/24/2023,10/24/2023,385.8900146,373.5700073
Josh Gottheimer,Democrat,10/19/2022,LLY,purchase,Major Pharmaceuticals,Health Care,10/19/2023,10/19/2023,329.2900085,590.7999878
Josh Gottheimer,Democrat,10/20/2022,EFX,sale_partial,Advertising,Finance,10/20/2023,10/20/2023,150.2400055,176.3699951
Josh Gottheimer,Democrat,10/17/2022,FIS,purchase,Business Services,Miscellaneous,10/17/2023,10/17/2023,77.02999878,53.61000061
Josh Gottheimer,Democrat,10/27/2022,MSFT,sale_partial,Computer Software: Prepackaged Software,Technology,10/27/2023,10/27/2023,226.75,329.8099976
Josh Gottheimer,Democrat,10/18/2022,MSFT,sale_partial,Computer Software: Prepackaged Software,Technology,10/18/2023,10/18/2023,238.5,330.1099854
Josh Gottheimer,Democrat,10/17/2022,MDB,purchase,Retail: Computer Software & Peripheral Equipment,Technology,10/17/2023,10/17/2023,182.3500061,365.7000122
Josh Gottheimer,Democrat,10/17/2022,NVDA,purchase,Semiconductors,Technology,10/17/2023,10/17/2023,11.88799953,43.93799973
