representative,party,transaction_date,ticker,type,industry,sector,price_date_unadjusted,price_date,purchase_price,purchase_price_plus_365
Earl Blumenauer,Democrat,5/27/2021,CAT,sale_full,Construction/Ag Equipment/Trucks,Capital Goods,5/27/2022,5/27/2022,241.2799988,217.1399994
Earl Blumenauer,Democrat,5/28/2021,LEG,sale_full,Home Furnishings,Consumer Discretionary,5/28/2022,5/31/2022,55.02999878,39.16999817
Earl Blumenauer,Democrat,5/7/2021,PFE,purchase,Major Pharmaceuticals,Health Care,5/7/2022,5/9/2022,39.58000183,48.63999939
Earl Blumenauer,Democrat,5/28/2021,QCOM,sale_partial,Radio And Television Broadcasting And Communications Equipment,Technology,5/28/2022,5/31/2022,134.5399933,143.2200012
Zoe Lofgren,Democrat,6/15/2022,ALLY,sale_full,Diversified Financial Services,Finance,6/15/2023,6/15/2023,34.83000183,28.68000031
Van Taylor,Republican,11/28/2022,BMY,sale_partial,Major Pharmaceuticals,Health Care,11/28/2023,11/28/2023,79.13999939,48.91999817
Van Taylor,Republican,11/28/2022,CVX,sale_partial,Integrated oil Companies,Energy,11/28/2023,11/28/2023,178.3600006,145.5099945
Van Taylor,Republican,11/28/2022,LLY,sale_partial,Major Pharmaceuticals,Health Care,11/28/2023,11/28/2023,365.769989,591.5999756
Van Taylor,Republican,11/28/2022,XOM,sale_partial,Integrated oil Companies,Energy,11/28/2023,11/28/2023,109.8099976,103.9000015
Van Taylor,Republican,11/28/2022,MCO,sale_full,Finance: Consumer Services,Finance,11/28/2023,11/28/2023,291.8900146,361.1799927
Van Taylor,Republican,11/28/2022,OXY,sale_full,Oil & Gas Production,Energy,11/28/2023,11/28/2023,68.23000336,60.06000137
Van Taylor,Republican,11/28/2022,ZBH,sale_full,Industrial Specialties,Health Care,11/28/2023,11/28/2023,117.6699982,113.0899963
Van Taylor,Republican,11/28/2022,ZIMV,sale_full,Biotechnology: Electromedical & Electrotherapeutic Apparatus,Health Care,11/28/2023,11/28/2023,9.029999733,9.25
James R. Langevin,Democrat,7/2/2021,AAPL,sale_full,Computer Manufacturing,Technology,7/2/2022,7/5/2022,139.9600067,141.5599976
James R. Langevin,Democrat,7/16/2021,GNRC,purchase,Metal Fabrications,Consumer Durables,7/16/2022,7/18/2022,430.3399963,223.6999969
James R. Langevin,Democrat,7/19/2021,GNRC,sale_full,Metal Fabrications,Consumer Durables,7/19/2022,7/19/2022,434.25,230.5800018
James R. Langevin,Democrat,7/16/2021,NFLX,purchase,Consumer Electronics/Video Chains,Consumer Services,7/16/2022,7/18/2022,530.3099976,190.9199982
James R. Langevin,Democrat,7/28/2021,Z,sale_full,Business Services,Consumer Discretionary,7/28/2022,7/28/2022,110.25,34.68999863
James R. Langevin,Democrat,7/29/2021,Z,purchase,Business Services,Consumer Discretionary,7/29/2022,7/29/2022,107.9700012,34.88000107
Alan S. Lowenthal,Democrat,3/29/2022,NFLX,purchase,Consumer Electronics/Video Chains,Consumer Services,3/29/2023,3/29/2023,391.8200073,332.0299988
Alan S. Lowenthal,Democrat,4/4/2022,IFF,sale_partial,Major Chemicals,Industrials,4/4/2023,4/4/2023,130.8399963,90.08000183
Alan S. Lowenthal,Democrat,3/25/2022,JBI,sale_full,,,3/25/2023,3/27/2023,8.989999771,9.81000042
Alan S. Lowenthal,Democrat,3/24/2022,JBI,sale_partial,,,3/24/2023,3/24/2023,9.109999657,9.859999657
Alan S. Lowenthal,Democrat,3/24/2022,NFLX,purchase,Consumer Electronics/Video Chains,Consumer Services,3/24/2023,3/24/2023,375.7099915,328.3900146
Earl Blumenauer,Democrat,7/27/2022,PHG,purchase,Biotechnology: Electromedical & Electrotherapeutic Apparatus,Health Care,7/27/2023,7/27/2023,21.27000046,20.60000038
Steve Cohen,Democrat,8/3/2022,OZKAP,purchase,Major Banks,Finance,8/3/2023,8/3/2023,20.57999992,15.30000019
Steve Cohen,Democrat,8/3/2022,DURA,purchase,,,8/3/2023,8/3/2023,31.10000038,31.88999939
Zoe Lofgren,Democrat,7/8/2022,KLAC,sale_partial,Electronic Components,Capital Goods,7/8/2023,7/10/2023,316.8399963,467.6600037
Shri Thanedar,,12/20/2022,COIN,sale_full,EDP Services,Technology,12/20/2023,12/20/2023,34.97000122,161.8600006
Shri Thanedar,,4/25/2022,JD,sale_full,Catalog/Specialty Distribution,Consumer Discretionary,4/25/2023,4/25/2023,53.72000122,33.70000076
Shri Thanedar,,6/24/2022,BEKE,sale_full,Real Estate,Finance,6/24/2023,6/26/2023,18.81999969,15.05000019
Shri Thanedar,,4/22/2022,TME,sale_full,,,4/22/2023,4/24/2023,4.079999924,7.360000134
Shri Thanedar,,8/1/2022,TSLA,sale_full,Auto Manufacturing,Capital Goods,8/1/2023,8/1/2023,297.2766724,261.0700073
Garret Graves,Republican,1/27/2021,DDD,sale_full,Computer peripheral equipment,Technology,1/27/2022,1/27/2022,42.22999954,16.03000069
Cynthia Axne,Democrat,11/23/2022,AMZN,purchase,Catalog/Specialty Distribution,Consumer Services,11/23/2023,11/24/2023,94.12999725,146.7400055
Cynthia Axne,Democrat,11/23/2022,CHD,purchase,Package Goods/Cosmetics,Basic Industries,11/23/2023,11/24/2023,78.56999969,94.83000183
Cynthia Axne,Democrat,11/23/2022,DHR,purchase,Industrial Machinery/Components,Capital Goods,11/23/2023,11/24/2023,233.4663086,221.4100037
Cynthia Axne,Democrat,11/23/2022,DHR,purchase,Industrial Machinery/Components,Capital Goods,11/23/2023,11/24/2023,233.4663086,221.4100037
Cliff Bentz,Republican,11/21/2022,AGG,sale_full,,,11/21/2023,11/21/2023,96.94000244,95.5
James R. Langevin,Democrat,11/4/2022,ABNB,sale_partial,Hotels/Resorts,Consumer Discretionary,11/4/2023,11/6/2023,96.08999634,118.1699982
James R. Langevin,Democrat,11/7/2022,ABNB,purchase,Hotels/Resorts,Consumer Discretionary,11/7/2023,11/7/2023,95.45999908,121.0800018
James R. Langevin,Democrat,11/1/2022,SQ,purchase,Computer Software: Prepackaged Software,Technology,11/1/2023,11/1/2023,59,40.95999908
James R. Langevin,Democrat,11/3/2022,DASH,sale_full,,,11/3/2023,11/3/2023,47.61000061,92.48999786
James R. Langevin,Democrat,11/4/2022,DASH,sale_full,,,11/4/2023,11/6/2023,51.56999969,89.04000092
James R. Langevin,Democrat,11/29/2022,GNRC,purchase,Metal Fabrications,Consumer Durables,11/29/2023,11/29/2023,100.6600037,115.5999985
Teresa Leger Fernandez,Democrat,1/20/2021,GBDC,sale_full,,,1/20/2022,1/20/2022,14.60999966,15.44999981
Doug Lamborn,Republican,5/17/2021,NTAP,sale_full,Electronic Components,Technology,5/17/2022,5/17/2022,78.44000244,73.90000153
Doug Lamborn,Republican,5/28/2021,NTAP,purchase,Electronic Components,Technology,5/28/2022,5/31/2022,77.37000275,71.94999695
Doug Lamborn,Republican,5/28/2021,NTAP,purchase,Electronic Components,Technology,5/28/2022,5/31/2022,77.37000275,71.94999695
Doug Lamborn,Republican,5/28/2021,NTAP,sale_full,Electronic Components,Technology,5/28/2022,5/31/2022,77.37000275,71.94999695
Doug Lamborn,Republican,6/7/2021,NTAP,sale_full,Electronic Components,Technology,6/7/2022,6/7/2022,81.02999878,71.45999908
Doug Lamborn,Republican,6/17/2021,NTAP,purchase,Electronic Components,Technology,6/17/2022,6/17/2022,81.47000122,63.75999832
Doug Lamborn,Republican,6/28/2021,NTAP,sale_full,Electronic Components,Technology,6/28/2022,6/28/2022,82.45999908,65.63999939
Doug Lamborn,Republican,5/17/2021,NTAP,sale_full,Electronic Components,Technology,5/17/2022,5/17/2022,78.44000244,73.90000153
Doug Lamborn,Republican,5/28/2021,NTAP,purchase,Electronic Components,Technology,5/28/2022,5/31/2022,77.37000275,71.94999695
Doug Lamborn,Republican,6/7/2021,NTAP,sale_full,Electronic Components,Technology,6/7/2022,6/7/2022,81.02999878,71.45999908
Doug Lamborn,Republican,6/17/2021,NTAP,purchase,Electronic Components,Technology,6/17/2022,6/17/2022,81.47000122,63.75999832
Doug Lamborn,Republican,6/28/2021,NTAP,sale_full,Electronic Components,Technology,6/28/2022,6/28/2022,82.45999908,65.63999939
Doug Lamborn,Republican,5/17/2021,NTAP,sale_full,Electronic Components,Technology,5/17/2022,5/17/2022,78.44000244,73.90000153
Doug Lamborn,Republican,5/28/2021,NTAP,purchase,Electronic Components,Technology,5/28/2022,5/31/2022,77.37000275,71.94999695
Doug Lamborn,Republican,6/7/2021,NTAP,sale_full,Electronic Components,Technology,6/7/2022,6/7/2022,81.02999878,71.45999908
Doug Lamborn,Republican,7/19/2021,NTAP,purchase,Electronic Components,Technology,7/19/2022,7/19/2022,77.30000305,68.30999756
Doug Lamborn,Republican,6/28/2021,NTAP,sale_full,Electronic Components,Technology,6/28/2022,6/28/2022,82.45999908,65.63999939
Mark E. Green,Republican,11/8/2021,CAPL,sale_full,Oil Refining/Marketing,Energy,11/8/2022,11/8/2022,20.78000069,19.90999985
Mark E. Green,Republican,11/8/2021,MPLX,purchase,Natural Gas Distribution,Energy,11/8/2022,11/8/2022,31.95000076,34.08000183
Mark E. Green,Republican,11/8/2021,USAC,sale_full,Oilfield Services/Equipment,Energy,11/8/2022,11/8/2022,16.07999992,18.62000084
Lloyd Doggett,Democrat,10/4/2021,KO,purchase,Beverages (Production/Distribution),Consumer Non-Durables,10/4/2022,10/4/2022,52.99000168,56.77999878
Doug Lamborn,Republican,11/8/2021,NTAP,sale_full,Electronic Components,Technology,11/8/2022,11/8/2022,91.88999939,69.44000244
Doug Lamborn,Republican,11/8/2021,NTAP,purchase,Electronic Components,Technology,11/8/2022,11/8/2022,91.88999939,69.44000244
Doug Lamborn,Republican,11/8/2021,NTAP,sale_full,Electronic Components,Technology,11/8/2022,11/8/2022,91.88999939,69.44000244
Doug Lamborn,Republican,11/8/2021,NTAP,purchase,Electronic Components,Technology,11/8/2022,11/8/2022,91.88999939,69.44000244
