Symbol,Name,Country,IPO Year,Volume,Sector,Industry
EVAX,Evaxion Biotech A/S American Depositary Share,Denmark,2021,6600,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
EVBN,Evans Bancorp Inc. Common Stock,United States,,4898,Finance,Major Banks
EVC,Entravision Communications Corporation Common Stock,United States,2000,62264,Industrials,Broadcasting
EVCM,EverCommerce Inc. Common Stock,United States,2021,36601,Technology,Computer Software: Prepackaged Software
EVE,EVe Mobility Acquisition Corp Class A Ordinary Shares,,2022,2288,Finance,Blank Checks
EVER,EverQuote Inc. Class A Common Stock,United States,2018,215184,Technology,Computer Software: Programming Data Processing
EVEX,Eve Holding Inc. Common Stock,,2022,428812,Industrials,Aerospace
EVF,Eaton Vance Senior Income Trust Common Stock,United States,1998,42371,Finance,Investment Bankers/Brokers/Service
EVG,Eaton Vance Short Diversified Income Fund Eaton Vance Short Duration Diversified Income Fund Common Shares of Beneficial Interest,United States,2005,49727,Finance,Investment Managers
EVGN,Evogene Ltd Ordinary Shares,Israel,,40964,Industrials,Agricultural Chemicals
EVGO,EVgo Inc. Class A Common Stock,United States,,4214941,Technology,EDP Services
EVGOW,EVgo Inc. Warrants,United States,,17520,Technology,EDP Services
EVGR,Evergreen Corporation Class A Ordinary Share,Malaysia,2022,6,Finance,Blank Checks
EVGRU,Evergreen Corporation Unit,Malaysia,2022,100,Finance,Blank Checks
EVGRW,Evergreen Corporation Warrant,Malaysia,2022,7,Finance,Blank Checks
EVH,Evolent Health Inc Class A Common Stock,United States,2015,1102621,Consumer Discretionary,Other Consumer Services
EVI,EVI Industries Inc.  Common Stock,United States,1999,5581,Consumer Discretionary,Other Consumer Services
EVLV,Evolv Technologies Holdings Inc. Class A Common Stock,United States,2020,1911531,Technology,Computer peripheral equipment
EVLVW,Evolv Technologies Holdings Inc. Warrant,United States,2020,112361,Technology,Computer peripheral equipment
EVM,Eaton Vance California Municipal Bond Fund Common Shares of Beneficial Interest $.01 par value,United States,2002,48340,Finance,Finance/Investors Services
EVN,Eaton Vance Municipal Income Trust Common Stock,United States,1999,61383,Finance,Investment Managers
EVO,Evotec SE American Depositary Shares,Germany,2021,64370,Health Care,Biotechnology: Pharmaceutical Preparations
EVOK,Evoke Pharma Inc. Common Stock,United States,2013,12015,Health Care,Biotechnology: Pharmaceutical Preparations
EVR,Evercore Inc. Class A Common Stock,United States,2006,141204,Finance,Investment Managers
EVRG,Evergy Inc. Common Stock,United States,,757489,Utilities,Power Generation
EVRI,Everi Holdings Inc. Common Stock,United States,,301568,Consumer Discretionary,Services-Misc. Amusement & Recreation
EVT,Eaton Vance Tax Advantaged Dividend Income Fund Common Shares of Beneficial Interest,United States,2003,91803,Finance,Finance Companies
EVTC,Evertec Inc. Common Stock,Puerto Rico,2013,143271,Technology,EDP Services
EVTL,Vertical Aerospace Ltd. Ordinary Shares,,2021,453990,Industrials,Aerospace
EVTV,Envirotech Vehicles Inc. Common Stock,United States,,53890,Consumer Discretionary,Auto Parts:O.E.M.
EVV,Eaton Vance Limited Duration Income Fund Common Shares of Beneficial Interest,United States,2003,168444,Finance,Finance/Investors Services
EW,Edwards Lifesciences Corporation Common Stock,United States,,2125919,Health Care,Industrial Specialties
EWBC,East West Bancorp Inc. Common Stock,United States,,309365,Finance,Major Banks
